,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
363,364,Genworth Financial,8681,343,101342,1675.8,3100,http://www.genworth.com
364,365,Targa Resources,8671.1,-209.2,18815.1,1610.8,2680,http://www.targaresources.com
365,366,Coty,8648.5,-3784.2,17665.4,3924.4,19000,#N/A
366,367,Dana,8620,226,7220,1128.2,36300,#N/A
367,368,Thrivent Financial for Lutherans,8611.7,968.1,102478.3,-,3235,http://www.thrivent.com
368,369,Autoliv,8547.6,461.5,6771.2,4017.4,61957,#N/A
369,370,SpartanNash,8536.1,5.7,2275.6,520.5,13800,http://www.spartannash.com
370,371,Eversource Energy,8526.5,909.1,41123.9,25835.3,8234,#N/A
371,372,Darden Restaurants,8510.4,713.4,5892.8,6580,184514,#N/A
372,373,Chesapeake Energy,8489,-308,16193,337.7,2300,#N/A
373,374,National Oilwell Varco,8479,-6095,13149,3793.9,34645,http://www.nov.com
374,375,Fidelity National Financial,8469,1062,10677,6854.3,23484,#N/A
375,376,Erie Insurance Group,8443.3,551,23346.7,-,5778,#N/A
376,377,Oshkosh,8382,579.4,5566.3,4394.4,15400,http://www.oshkoshcorporation.com
377,378,Casey's General Stores,8364.9,203.9,3731.4,4874.8,26866,#N/A
378,379,WESCO International,8358.9,223.4,5017.6,956.8,9500,http://www.wesco.com
379,380,Tractor Supply,8351.9,562.4,5289.3,9809.9,24000,http://www.tractorsupply.com
380,381,CommScope Holding,8345.1,-929.5,14431.6,1779,30000,#N/A
381,382,Huntsman,8342,562,8320,3217.2,10000,http://www.huntsman.com
382,383,American Financial Group,8237,897,70130,6331,7700,#N/A
383,384,Masco,8235,935,5027,9118,22000,http://www.masco.com
384,385,Sanmina,8233.9,141.5,3905.5,1927.2,38500,http://www.sanmina.com
385,386,Amphenol,8225.4,1155,10815.5,21725.6,74000,#N/A
386,387,Williams,8201,850,46040,17165.7,4812,http://www.williams.com
387,388,Westinghouse Air Brake,8200,326.7,18944.2,9227.1,27500,http://www.westernunion.com
388,389,Expeditors Intl. of Washington,8175.4,590.4,3691.9,11208.2,18000,#N/A
389,390,Andersons,8170.2,18.3,3900.7,628.7,2284,#N/A
390,391,Westlake Chemical,8118,421,13261,4900.8,9430,http://www.westlake.com
391,392,Constellation Brands,8116,3435.9,29231.5,27601.3,9800,#N/A
392,393,Frontier Communications,8107,-5911,17488,39.9,18317,#N/A
393,394,JetBlue Airways,8094,569,11918,2525.7,19032,http://www.jetblue.com
394,395,Citizens Financial Group,8066,1791,165733,8040,17997,#N/A
395,396,Raymond James Financial,8023,1034,38830,8802.7,14200,http://www.raymondjames.com
396,397,Foot Locker,8005,491,6589,2297.4,33294,#N/A
397,398,Hershey,7986.3,1149.7,8140.4,27791.8,15330,http://www.thehersheycompany.com
398,399,Zimmer Biomet Holdings,7982.2,1131.6,24638.7,20891.4,19900,www.zimmerbiomet.com
399,400,Cincinnati Financial,7924.2,1997.4,25407.9,12241.5,5200,#N/A
400,401,Western & Southern Financial Group,7920.5,244.9,54702.7,-,2787,http://www.westernsouthern.com
401,402,W.R. Berkley,7902.2,681.9,26643.4,9569.1,7493,http://www.wrberkley.com
402,403,Motorola Solutions,7887,868,10642,22802.9,17000,http://www.motorolasolutions.com
403,404,Thor Industries,7864.8,133.3,5660.4,2328.3,21750,http://www.thorindustries.com
404,405,Regeneron Pharmaceuticals,7863.4,2115.8,14805.2,53721.6,8100,http://www.regeneron.com
405,406,Spirit AeroSystems Holdings,7863.1,530.1,7606,2506.5,18200,http://www.spiritaero.com
406,407,J.M. Smucker,7838,514.4,16711.3,12658.2,7400,http://www.jmsmucker.com
407,408,PPL,7769,1746,45680,18949.6,12280,http://www.pplweb.com
408,409,Insight Enterprises,7731.2,159.4,4178.2,1485.7,11261,http://www.insight.com
409,410,Quest Diagnostics,7726,858,12843,10716.4,47000,http://www.questdiagnostics.com
410,411,KeyCorp,7694,1717,144988,10057.8,17045,http://www.key.com
411,412,Veritiv,7659.4,-29.5,2511.1,126.9,8000,http://www.ventasreit.com
412,413,DCP Midstream,7625,17,14127,847.9,2250,#N/A
413,414,American Tower,7580.3,1887.8,42801.6,96444,5454,#N/A
414,415,Graybar Electric,7523.9,144.5,2517.7,-,9000,#N/A
415,416,WEC Energy Group,7523.1,1134,34951.8,27799.2,7509,www.wecenergygroup.com
416,417,NVR,7428.4,878.5,3809.8,9475,5700,http://www.nvrinc.com
417,418,Ulta Beauty,7398.1,705.9,4863.9,9893.6,31000,http://www.ugicorp.com
418,419,Devon Energy,7372,-355,13717,2645.8,1800,#N/A
419,420,Blackstone Group,7338.3,2049.7,32585.5,30696.4,2905,#N/A
420,421,Dean Foods,7328.7,-499.9,2228.6,9.7,14500,#N/A
